,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
425,928262,2012.0,1,0.725,0.018125,0.675,0.025625,0.798666667,0.019551802,0.76,0.0384,0.7333333329999999,0.054444444,0.875,0.109375,0.75,0.1875,0.67594246,0.025805655,0.736678877,0.024291133
361,521343,2012.0,1,0.625,0.0375,0.55,0.0475,0.785333333,0.030854519,0.7514285709999999,0.037232653,0.643333333,0.1009,1.0,0.0,0.625,0.234375,0.458606151,0.06655186,0.693431013,0.065763677
453,824849,2012.0,1,0.7125,0.05015625,0.575,0.063125,0.8511111109999999,0.025091357999999998,0.811428571,0.031216327000000002,0.78,0.057377778,1.0,0.0,0.8125,0.12109375,0.527430556,0.055674502,0.6756532359999999,0.037575867
362,895921,2012.0,1,0.5125,0.03890625,0.425,0.050625,0.7759999999999999,0.027366716,0.774285714,0.03762449,0.7533333329999999,0.034044444,0.375,0.234375,0.75,0.1875,0.379365079,0.030682792,0.788339438,0.014106715
482,941947,2013.0,1,0.725,0.061875,0.775,0.043125,0.8540000000000001,0.027844,0.8885714290000001,0.010195918,0.872380952,0.007976417,0.59375,0.10839843800000001,0.875,0.109375,0.722678571,0.01642562,0.6938384,0.039158083999999996
105,849693,2009.0,1,0.7,0.038888888999999996,0.7,0.038888888999999996,0.974358974,0.025641026,0.9875,0.0125,0.825,0.148076923,1.0,0.0,1.0,0.0,0.558139535,0.249521204,0.7657657659999999,0.180999181
22,392834,2008.0,1,0.7,0.066666667,0.694444444,0.06944444400000001,0.95,0.048717949,0.9014084509999999,0.090140845,0.806451613,0.161290323,0.5555555560000001,0.27777777800000003,1.0,0.0,0.522727273,0.25235109699999997,0.790909091,0.166889074
53,371821,2008.0,1,0.675,0.05625,0.669444444,0.058719136,0.975,0.025,0.915492958,0.078470825,0.9032258059999999,0.090322581,1.0,0.0,0.8888888890000001,0.111111111,0.397727273,0.242293626,0.7818181820000001,0.172143453
404,238461,2012.0,1,0.575,0.02875,0.525,0.043125,0.777333333,0.023646222,0.645714286,0.079053061,0.71,0.0489,0.125,0.109375,0.4375,0.21484375,0.475198413,0.088023235,0.672722833,0.07155086299999999
589,361170,2014.0,1,0.775,0.030625,0.8,0.0225,0.93,0.013219999999999999,0.914285714,0.021061224,0.910952381,0.032508163,0.59375,0.045898438,0.875,0.109375,0.754092262,0.038984857000000005,0.85662674,0.008503845
